NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 08     , East Floor 08                          ,            60.200  ,   Sizing                         ,          4.87
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         44.51
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         45.51
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         42.69
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          9.36
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         55.27
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 09     , East Floor 09                          ,            60.200  ,   Sizing                         ,          4.88
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.07
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         43.79
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         41.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.92
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         74.05
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 10     , East Floor 10                          ,            60.200  ,   Sizing                         ,          4.20
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         29.35
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         47.20
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         44.46
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.36
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         64.87
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 11     , East Floor 11                          ,            60.200  ,   Sizing                         ,          4.89
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         78.30
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         79.16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         84.20
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         10.13
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         68.29
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   EFL 12     , East Floor 12                          ,            60.200  ,   Sizing                         ,          3.86
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         67.54
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         57.49
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         68.96
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         22.69
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.01
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 01      , West Floor 01                          ,            60.200  ,   Sizing                         ,           .70
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         53.55
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         56.47
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         57.25
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          8.10
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         64.23
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            50.800  ,   Stair Metal                    ,           .16
