NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COT1       , Commercial Terrace                     ,            21.130  ,   Walls - 3rd Coat Finish        ,         15.66
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COT1       , Commercial Terrace                     ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         11.30
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   COT1       , Commercial Terrace                     ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         27.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         70.45
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         69.46
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         69.46
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         43.86
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            24.110  ,   CMU Walls - Blockfiller        ,         13.31
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         80.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            34.120  ,   Trim - 2nd Coat Finish         ,         37.48
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            80.120  ,   PWT Only Punchlilst            ,          8.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF01       , Grimke Floor 1                         ,            80.800  ,   Contingency - Original         ,          8.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         84.66
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         79.19
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         79.19
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         53.29
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        125.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            34.120  ,   Trim - 2nd Coat Finish         ,         56.48
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            80.120  ,   PWT Only Punchlilst            ,         13.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF02       , Grimke Floor 2                         ,            80.800  ,   Contingency - Original         ,         13.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF03       , Grimke Floor 3                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,        232.20
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF03       , Grimke Floor 3                         ,            21.120  ,   Walls - 2nd Coat Finish        ,        257.20
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF03       , Grimke Floor 3                         ,            21.130  ,   Walls - 3rd Coat Finish        ,        257.20
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF03       , Grimke Floor 3                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,        148.44
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF03       , Grimke Floor 3                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        338.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GF03       , Grimke Floor 3                         ,            34.120  ,   Trim - 2nd Coat Finish         ,        157.52
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GMIS       , Grimke Misc                            ,            40.400  ,   Exterior Steel                 ,         13.68
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GMIS       , Grimke Misc                            ,            40.500  ,   Elastomeric Coating            ,          3.33
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GMIS       , Grimke Misc                            ,            40.600  ,   Lintels                        ,         22.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   GMIS       , Grimke Misc                            ,            50.800  ,   Stair Metal                    ,         72.00
NL:      056.20.1  ,  Grimke School Reno-School                          ,01, =    , 01, = ,   UF01       , U Street Floor 1                       ,            20.110  ,   Walls/DW Ceiling - Prime       ,         12.62
