
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   MI 01      , Misc & Exterior                        ,            26.110  ,   Floor Sealer                   ,          2.18
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   MI 01      , Misc & Exterior                        ,            40.300  ,   Steel Railings                 ,         28.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   MI 01      , Misc & Exterior                        ,            40.400  ,   Exterior Steel                 ,         34.90
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   MI 01      , Misc & Exterior                        ,            50.600  ,   Caulking Windows & Doors       ,        106.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   ST 01      , STAIR TOWER 01                         ,            24.110  ,   CMU Walls - Blockfiller        ,        106.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   ST 01      , STAIR TOWER 01                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         30.39
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   ST 01      , STAIR TOWER 01                         ,            50.800  ,   Stair Metal                    ,         96.00
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   ST 02      , STAIR TOWER 02                         ,            24.110  ,   CMU Walls - Blockfiller        ,        106.36
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   ST 02      , STAIR TOWER 02                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         30.39
NL:      026.20.3  ,  1550 First Street Apts                             ,01, =    , 01, = ,   ST 02      , STAIR TOWER 02                         ,            50.800  ,   Stair Metal                    ,         96.00
