NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST02       , Stair 0A2                              ,            21.130  ,   Walls - 3rd Coat Finish        ,          6.50
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST02       , Stair 0A2                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          7.33
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST02       , Stair 0A2                              ,            50.800  ,   Stair Metal                    ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST03       , Stair 0A3                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,          3.92
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST03       , Stair 0A3                              ,            21.120  ,   Walls - 2nd Coat Finish        ,          3.36
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST03       , Stair 0A3                              ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.88
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST03       , Stair 0A3                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          6.67
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST03       , Stair 0A3                              ,            50.800  ,   Stair Metal                    ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST04       , Stair 1B1                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,          2.45
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST04       , Stair 1B1                              ,            21.120  ,   Walls - 2nd Coat Finish        ,          2.10
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST04       , Stair 1B1                              ,            21.130  ,   Walls - 3rd Coat Finish        ,          3.68
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST04       , Stair 1B1                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          4.05
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST04       , Stair 1B1                              ,            50.800  ,   Stair Metal                    ,         16.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST05       , Stair 1B2                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,          3.61
