
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.83
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.83
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL09       , Floor 09                               ,            60.200  ,   Sizing                         ,          7.76
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.38
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.43
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.43
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          8.21
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.87
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.87
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL10       , Floor 10                               ,            60.200  ,   Sizing                         ,          8.02
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.40
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.46
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.46
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          8.16
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          8.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            30.120  ,   Special Coating - Interm Coat  ,          4.87
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            30.130  ,   Special Coating - Finish Coat  ,          4.87
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL11       , Floor 11                               ,            60.200  ,   Sizing                         ,          7.84
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          6.36
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.55
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.55
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         10.41
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          3.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            30.120  ,   Special Coating - Interm Coat  ,          5.36
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            30.130  ,   Special Coating - Finish Coat  ,          5.36
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   FL12       , Floor 12                               ,            60.200  ,   Sizing                         ,          7.84
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            24.110  ,   CMU Walls - Blockfiller        ,        157.21
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            30.120  ,   Special Coating - Interm Coat  ,         16.56
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            30.130  ,   Special Coating - Finish Coat  ,         16.56
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            34.110  ,   Trim - 1st Coat Prime          ,         64.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            34.120  ,   Trim - 2nd Coat Finish         ,          6.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            50.800  ,   Stair Metal                    ,        124.44
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   MI01       , Miscellaneous                          ,            80.800  ,   Contingency - Original         ,         68.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P001       , P1 LEVEL                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.46

NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P001       , P1 LEVEL                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          3.11
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P001       , P1 LEVEL                               ,            30.120  ,   Special Coating - Interm Coat  ,          2.32
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P001       , P1 LEVEL                               ,            30.130  ,   Special Coating - Finish Coat  ,          2.32
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P001       , P1 LEVEL                               ,            60.200  ,   Sizing                         ,           .85
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P002       , P2 LEVEL                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.88
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P002       , P2 LEVEL                               ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          2.48
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P002       , P2 LEVEL                               ,            30.120  ,   Special Coating - Interm Coat  ,          7.58
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P002       , P2 LEVEL                               ,            30.130  ,   Special Coating - Finish Coat  ,          7.58
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   P002       , P2 LEVEL                               ,            60.200  ,   Sizing                         ,           .35
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   PH01       , Penthouse                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.99
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   PH01       , Penthouse                              ,            21.120  ,   Walls - 2nd Coat Finish        ,          8.90
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   PH01       , Penthouse                              ,            21.130  ,   Walls - 3rd Coat Finish        ,          8.90
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   PH01       , Penthouse                              ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          3.26
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   PH01       , Penthouse                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          3.26
