
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2249      , Building 2249                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         24.94
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2249      , Building 2249                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         24.94
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2249      , Building 2249                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        105.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B2249      , Building 2249                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3225      , Building 3225                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.79
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3225      , Building 3225                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.79
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3225      , Building 3225                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.79
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3225      , Building 3225                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3235      , Building 3235                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          9.79
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3235      , Building 3235                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.79
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3235      , Building 3235                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.79
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3235      , Building 3235                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3245      , Building 3245                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3245      , Building 3245                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3245      , Building 3245                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3245      , Building 3245                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          1.50
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3245      , Building 3245                          ,            50.800  ,   Stair Metal                    ,         20.00
