
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   AU         , Auditorium                             ,            21.120  ,   Walls - 2nd Coat Finish        ,         68.02
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   AU         , Auditorium                             ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   AU         , Auditorium                             ,            21.140  ,   Walls - 4th Coat Finish        ,         34.37
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   AU         , Auditorium                             ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         43.19
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   AU         , Auditorium                             ,            50.500  ,   AESS Steel                     ,         31.65
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   Ext        , Exterior                               ,            50.500  ,   AESS Steel                     ,        120.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         29.07
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         24.48
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         25.14
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            21.140  ,   Walls - 4th Coat Finish        ,         14.69
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         69.16
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            24.110  ,   CMU Walls - Blockfiller        ,         14.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         15.75

NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         14.99
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          2.03
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            50.500  ,   AESS Steel                     ,         16.00
NL:      007.23.3  ,  Bowie State - Comm Art Bldg                        ,01, =    , 01, = ,   PH         , Penthouse                              ,            50.800  ,   Stair Metal                    ,        112.00
