
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   FL11       , 11th Flr Corridor                      ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,          3.41
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   FL11       , 11th Flr Corridor                      ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         21.43
NL:      027.21.1  ,  1550 Crystal Dr  11th Floor                        ,01, =    , 01, = ,   FL11       , 11th Flr Corridor                      ,            50.900  ,   Elevator Door & Frame          ,         16.00
NL:      028.21.1  ,  Justice FCU-DEA Branch                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      028.21.1  ,  Justice FCU-DEA Branch                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      028.21.1  ,  Justice FCU-DEA Branch                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      028.21.1  ,  Justice FCU-DEA Branch                             ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      029.21.1  ,  Bowen Bldg TI Floors- 11th                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,          1.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.120  ,   Walls - 2nd Coat Finish        ,          1.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            21.130  ,   Walls - 3rd Coat Finish        ,          1.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   BASE       , Base Job                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          1.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         51.86
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         39.85
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         39.85
